Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Control
0.001752263	0.010107853	0.007055617	0.012197776	0.006749806	0.000254332	0.000420451	0.014182481	0.014378775	0.01037335	0.000434749	0.004443416	0.041611962	0.000115035	0.000972407	0.008217253	0.001148435	0.025082712	0.00183985	0.000230416	4.29E-05	0.002627069	0.000896905	0.008803652	0.003405734	0.001200762	0.004795016	0.000704727	0.007814483	0	0.030655391
0.002152421	0.005884207	0.013554684	0.026807988	0.007417532	0.000584878	0.001133601	0.012794291	0.003754504	0.003851234	0.00162799	0.00898511	0.020182728	0.005148546	0.001425871	0.013165885	0.001091641	0.021104991	0.003063853	0.001831416	0.00028923	0.002394808	0.000406524	0.023598587	0.006780514	0.001227086	0.005724009	0.001015398	0.012380905	0	0.023255814
0.003064519	0.010420746	0.007736964	0.03619306	0.016785936	0.001549422	0.000791717	0.008372031	0	0.008095326	0.000454801	0.012043475	0.018652466	0	0.00401549	0.025366003	0.012877221	0.05337893	0.006113782	0.003155286	0	0.003132648	0.000405218	0.033740216	0	0.001118152	0.009223916	0	0.034197141	0.006228555	0.044397463
0.001422263	0.005396554	0.006441897	0.008911653	0.005431106	0.000565418	0.000356163	0.013039278	0.013589849	0.055719959	0.000125906	0.002149606	0.01049027	0.007735721	0.001611874	0.006890589	0.002055782	0.028720984	0.002045132	0.002667593	0.000111843	0.001523402	5.85E-05	0.005526167	0.007876754	0.000880855	0.004328074	0.001182537	0.007801911	0	0.016913319
0.000233184	0.00015935	0.013153929	0.003245238	0.004826248	0.000176037	0	0.003968426	0.002813962	0.000125524	0.000306057	0.001889047	0.002952033	2.08E-05	0.000169853	0.002926282	0.000946696	0.00051338	0.001893862	0.000211204	0.000194194	0.000309664	0	0.00303852	0.003568862	0.000516188	0.000811802	0.000209794	0.002446365	0	0.002114165
0.000857933	0.000419046	0.01711013	0.004638531	0.007742205	0.000417208	0	0.005250495	0.003461918	0.00019337	0.000336773	0.002346844	0.001848733	0	3.96E-05	0.003756627	0.002379738	0.002171331	0.00159289	0.001602053	0.000797752	0	0	0.005480508	0.00186622	0.001591149	0.002787789	0.000567574	0.002349194	0	0.006342495
0.000953987	0.001648768	0.035950414	0.012896932	0.01184685	0	0	0.00345102	0	0	0	0	0.000193411	0	0.00115208	0	0.000182793	0.011003362	0	4.80E-05	0	0	0	0	0	0.001549376	0	0	0.000505054	0.021462429	0.009513742
0.000381074	0.000366935	0.012667787	0.001794044	0.004802992	0.000242045	3.78E-05	0.00407191	0.002212204	4.99E-05	0.000390761	0.001512814	0.002997839	2.07E-05	0.000153337	0.00441939	0.000751598	0.001338633	0.002334626	0.000255331	0.000694229	0.00017452	0	0.000976526	0.001512647	0.001006053	0.000805269	0.000251195	0.001038589	0	0.006342495
0.000242142	2.44E-05	0.013426116	0.005112897	0.00453662	0	5.54E-05	0.004574845	0.001535863	0	0	0.001685146	0.006070338	0	0.000202268	0.00354926	0.001596194	0.000225836	9.51E-05	5.87E-06	5.65E-05	0.000497151	0.000113547	0.004969621	0.004656488	0.00075497	0.004221166	0.000123681	0.001002449	0	0.002114165
0.000160027	0.000297722	0.013054034	0.005712816	0.005556646	0	0.00026797	0.005080648	0.002064005	0	0.000153935	0.002038161	0.001255823	0	8.15E-05	0.005365975	0.00071143	0.002177132	0.001609467	0.000292376	0	0.000852638	0.000195791	0.007183165	0.003596605	0.000867345	0.0013616	0.000208845	0.000514594	0	0.002114165
