Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7a	Signature.7b	Signature.7c	Signature.7d	Signature.8	Signature.9	Signature.10a	Signature.10b	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17a	Signature.17b	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30	Signature.31	Signature.32	Signature.33	Signature.34	Signature.35	Signature.36	Signature.37	Signature.38	Signature.39	Signature.40	Signature.41	Signature.42	Signature.43	Signature.44	Signature.45	Signature.46	Signature.47	Signature.48	Signature.49	Signature.50	Signature.51	Signature.52	Signature.53	Signature.54	Signature.55	Signature.56	Signature.57	Signature.58	Signature.59	Signature.60	Signature.84	Signature.85	Control
2.52E-06	2.18E-16	0.016328954	0.004219156	0.004214019	6.56E-06	1.54E-16	0.000284411	0.000266962	0.001340993	0.004211009	0.000847975	4.99E-05	7.88E-06	0.000200045	0.001484432	0.00617087	6.30E-05	1.36E-05	0.003896904	0.00075032	0.000300467	0.000311375	0.001347174	4.46E-05	1.62E-05	0.001089283	0.000101484	0.000844616	0.004651314	0.000320576	0.004219777	1.99E-05	0.001250407	0.000820352	0.001601651	0.00064714	0.001202396	0.00010978	0.003158734	0.000876311	0.000412255	0.000984397	0.015821535	0.006663329	0.001756296	0.002967527	1.45E-05	2.51E-05	0.00075161	0.000416868	0.001012944	1.47E-05	3.23E-05	4.65E-05	0.001992156	0.000574165	0.000842888	0.000573494	0.001942295	0.000234988	0.00075244	0.000703127	0.00116989	3.39E-05	4.57E-06	0.00162733	0.002114165
9.71E-06	0.000414976	0.014428492	0.004477353	0.006641946	7.18E-06	0.000109401	0.000721029	0.003542355	0.000351414	0.005561726	0.001768696	2.95E-16	7.07E-17	0.000164082	0.001193807	0.000862103	7.01E-05	3.33E-06	0.006027649	0.000385647	8.73E-05	0.001388456	0.00166621	3.07E-06	0.000271148	0.000984967	0.000179883	0.002043101	0.003594196	0.000342994	0.001359564	0.000126163	0.002914376	0.000619541	0.001757632	0.000560826	0.000397503	0.000131662	0.006235439	0.001171003	0.000353093	0.000887676	0.025049453	0.009967398	0.001225509	0.005577554	0.000177863	1.41E-05	0.000508566	0.000302518	0.000303722	2.18E-05	4.63E-05	0.000247955	0.000101452	0.000491408	0.002260056	0.000542015	0.002285255	0.000313471	0.002941314	0.001370957	0.00117687	0.000123511	0.002673993	0.00033799	0.002114165
0.000412049	0.000533242	0.014215835	0.020522148	0.016887552	0.000150638	0.00059942	0.00550221	0.003803332	0.015021268	9.91E-05	0.00464829	0.000245885	6.55E-16	9.62E-05	0.002146751	0.006012892	0.0001577	9.12E-05	0.017952472	0.003526057	3.87E-15	0.020369758	0.000410086	0.001221072	9.29E-05	0.002777342	1.22E-17	0.003425551	0.005962803	0.000411382	0.003607577	3.44E-15	0.005534508	0.000868276	0.007473982	0.003384968	0.002855376	0.001963409	0.007974896	0.003316887	0.003353736	0.00624418	0.075690488	0.016586654	0.003887374	0.003667439	0.019736207	4.03E-17	0.003785712	0.000933918	0.00795211	6.02E-05	0.000398294	0.011283491	0.015894786	0.003095872	0.005623363	0.002467288	0.001953673	0.000859348	0.007242081	0.00050689	0.004347211	0.00271473	1.58E-05	0.000599422	0.007399577
1.64E-17	4.38E-05	0.013307207	0.002591965	0.004069688	1.62E-06	4.66E-05	0.000389809	0.003875518	1.59E-16	0.003261141	0.002029342	2.32E-05	4.12E-17	5.21E-06	0.00121888	0.004965288	9.25E-05	9.66E-06	0.007448132	3.73E-05	0.00021083	0.001357822	0.001728571	4.13E-06	0.000100201	0.000234144	9.34E-05	0.00107503	8.93E-05	0.000388231	0.000168634	2.16E-16	0.00179334	0.000464705	0.001884609	0.000196466	0.000374279	4.79E-05	0.009350218	0.001041751	0.000382209	0.000521757	0.015576259	0.008641024	0.002995597	0.003360641	0.00041733	2.85E-05	0.000708061	0.000882065	0.000102383	2.56E-05	2.01E-05	0.000256169	0.001286767	0.000411829	0.000111031	0.000476083	0.001542328	0.000624773	0.001715227	0.000780736	0.001372583	7.41E-05	0.006031199	0.000453957	0.001057082
1.58E-06	0.000100641	0.016915587	0.004487473	0.004460828	4.87E-06	2.13E-05	5.00E-05	0.00037131	0.000313466	0.003420725	0.002033073	2.58E-05	7.13E-06	5.63E-05	0.000983596	0.002597509	2.58E-16	0.000253708	0.001814525	0.001875418	0.000146051	0.000507784	0.001569654	0.000610677	0.000501599	0.00228645	3.97E-18	0.001385702	0.004240934	0.000547657	0.001994339	0.000398031	0.0013582	0.000523704	0.002250855	0.000776044	0.000972955	4.85E-05	0.004354364	0.000985718	0.001938207	0.001100391	0.020756287	0.007021053	0.002711733	0.002631956	0.014851527	0.000161522	0.000275539	0.000131253	0.002802329	1.83E-05	3.57E-05	0.029817323	0.003752453	0.0010571	0.000673228	0.001749752	0.000885074	0.000339108	0.005055689	0.002955503	0.001275048	0.000184538	0.01127977	0.003340475	0.001057082
3.69E-05	0.000549062	0.015713663	0.006668026	0.006619369	0.000235171	4.93E-05	0.000604066	0.001319197	4.85E-16	0.004331913	0.005783407	0.000195309	7.71E-05	0.000188043	0.000689	0.001133926	6.87E-05	0.000212146	0.007299874	0.002438222	0.000184992	0.00146485	0.00211303	0.003568904	0.002509555	0.002076347	0.000159411	0.004032392	0.003322819	0.001097422	0.002591957	6.60E-16	0.001341421	0.000355879	0.012627566	0.001089954	0.001338701	0.000383177	0.037688173	0.001642578	0.001882835	0.001353857	0.025182643	0.010186132	0.004888238	0.00212882	0.022691284	0.001199825	0.001142466	0.001435437	0.005199097	6.91E-05	3.54E-05	0.050379588	0.00171494	0.001518407	0.056487198	0.000240291	0.002004715	0.000243688	0.004686596	0.002839651	0.002081975	0.000208937	0.021791037	0.014479743	0.001057082
0.000266403	3.35E-15	0.031442806	0.027307545	0.014040065	5.44E-16	0.000478223	0.003213774	0.003582286	0.008502644	0.006311621	0.007597563	3.74E-15	8.98E-16	3.81E-05	0.001622964	0.004071041	2.51E-15	2.51E-05	0.001370524	0.000493827	5.30E-15	0.004984579	0.006977977	0.006161893	0.001475481	0.003361543	1.64E-17	0.015604617	0.004146908	0.000998138	0	4.71E-15	4.02E-05	0.001160612	0.005483214	0.000592829	0.00057365	3.15E-15	0.00742708	0.00186668	0.008264651	0.009124066	0.08318364	0.016107245	0.002022851	0.002385584	0.136353019	5.53E-17	0.005609785	0	0.007566331	9.80E-05	8.42E-05	0.03050268	0.002866122	0.007547112	0.014276678	0.012392304	0.058032162	9.94E-05	0.024203413	0.023254884	0.003100851	0.002230863	0.016754674	0.000547772	0.007399577
4.01E-17	0.000225553	0.021416453	0.002820763	0.007006251	8.82E-05	4.99E-05	0.000296203	0.00285642	0.001542945	0.007048255	0.014013341	6.66E-05	5.13E-05	0.000245487	0.000961425	0.005114185	0.000101921	0.000125913	0.006105525	0.00183876	5.95E-16	0.001075863	0.000419401	0.003015361	0.000292713	0.000812815	4.06E-18	0.001883495	0.002213734	0.00046255	0.007005229	5.28E-16	0.002100825	0.000443811	0.004520459	0.000220935	0.001285094	4.27E-05	0.012315905	0.001277777	0.002039749	0.000919776	0.030649987	0.010593855	0.005176231	0.003322722	0.021500649	0.001492473	0.000843532	0.000861408	0.004050509	1.66E-05	5.35E-05	0.017467883	0.003430462	0.000854641	0.000305763	0.00431724	7.76E-05	3.47E-06	0.000636172	0.001646896	0.002188866	7.96E-05	0.084153726	0.007294622	0
1.77E-17	1.65E-16	0.008541648	0.001464319	0.003589445	6.02E-06	1.17E-16	0.00011973	0.001908418	0.002884119	0.000939772	0.001938978	4.60E-05	4.44E-17	9.08E-06	0.000814832	0.264686484	1.10E-05	2.63E-05	0.002091481	0.00386226	0.000188107	0.000825136	0.001011061	5.68E-05	0.000407671	0.002803434	9.34E-05	0.000921168	0.004805718	0.000875769	0.001943566	0.000120607	3.09E-05	6.23E-05	0.000234854	2.01E-18	0.007910219	4.33E-07	0.004118397	0.002135053	0.001267319	0.001176126	0.014470201	0.008363122	0.012754884	0.000295587	2.33E-06	0.000239337	0.001316617	0.001772048	0.000110993	1.54E-05	5.44E-06	0.000501857	0.001087731	0.000731322	0.000879755	0.001806807	0.003540475	0.000988057	0.001466502	0.001431798	1.00E-06	0.000288776	0	0.000956773	0.00422833
2.17E-05	9.87E-05	0.017575241	0.00328084	0.004708744	1.84E-05	3.60E-05	0.001029437	0.006113473	0.000611271	0.001154849	0.001943417	2.49E-16	5.98E-17	0.000175687	0.00175708	0.071476199	0.000113139	1.02E-05	0.005874856	0.001003838	9.79E-05	0.00241182	0.002430016	1.67E-05	0.000530245	0.001613612	0.000158758	0.001847809	0.002161699	0.000671413	0.00283918	0.000192277	0.002656321	0.000651745	0.002334539	0.000633428	0.002058894	0.000132163	0.004714529	0.001742841	0.001059427	0.001299404	0.02063129	0.012717236	0.012269504	0.001333002	0.000731124	4.51E-06	0.001081077	0.002047594	0.001290264	5.30E-05	2.34E-05	0.000357871	0.002582201	0.000717003	0.001582362	0.0002685	0.002217409	0.00034655	0.002427845	0.001631135	0.001202907	0.000256094	7.49E-05	0.002543438	0.003171247
